state,county,netprice
Virginia,Roanoke County,7784.1679
Wisconsin,Door County,48665.3581
Iowa,Marion County,9975.3553
Tennessee,Lincoln County,14283.9138
Pennsylvania,York County,85808.225
Texas,Karnes County,8524.7725
North Carolina,McDowell County,22312.7066
Georgia,Gilmer County,27968.9123
Virginia,Buena Vista City County,2673.1108
Maryland,Saint Mary's County,81960.7164
Minnesota,Washington County,109456.0629
Louisiana,St John The Baptist Parish,34604.2271
Michigan,Houghton County,10415.7882
Arkansas,Izard County,3290.6192
Oklahoma,McClain County,2750.0
Texas,Refugio County,5462.1137
Pennsylvania,Jefferson County,21480.598
Georgia,Jones County,13624.1816
South Carolina,Union County,3930.9879
Indiana,Shelby County,54376.9582
Minnesota,Aitkin County,10615.5409
North Dakota,Burleigh County,25802.2686
Georgia,Wayne County,4421.1644
North Carolina,Lincoln County,54754.391
Georgia,Schley County,4257.0445
Arkansas,Independence County,14418.2347
Arkansas,Boone County,7410.8939
Arkansas,Faulkner County,9705.5177
Iowa,Mills County,15632.4822
North Carolina,Northampton County,9845.0706
Michigan,Kalamazoo County,78871.6043
Alabama,Lee County,14641.0577
Iowa,Linn County,38403.8427
Tennessee,Jackson County,5165.2229
South Dakota,Aurora County,5257.1325
Iowa,Monroe County,4168.1653
Michigan,Macomb County,87329.7501
Texas,Kinney County,2956.3761
Florida,Putnam County,14187.8018
Wisconsin,Pepin County,24438.2088
Georgia,Gordon County,13150.2113
Texas,Coleman County,3038.7267
Georgia,Pickens County,18455.201
Texas,Lubbock County,31091.9025
Texas,Lamar County,6940.1047
Michigan,Clinton County,34403.9631
Indiana,Vanderburgh County,112366.1683
Alabama,Lowndes County,2516.1186
Louisiana,West Baton Rouge Parish,550673.4748
Oklahoma,Mayes County,33399.2974
West Virginia,Mason County,3170.0697
Iowa,Iowa County,30178.9104
Minnesota,Grant County,62145.9951
Virginia,Sussex County,3734.9404
Virginia,Galax City County,1166666.6667
Texas,Hale County,9342.051
Indiana,Decatur County,49685.429
Texas,Dewitt County,10936.31
